Trường,STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
Đại Học Bách Khoa Hà Nội,53,TROY-Bay,Quản trị kinh doanh - hợp tác với ĐH Troy (Hoa Kỳ),A00; A01; D01,23.4,
Đại Học Bách Khoa Hà Nội,54,TROY-ITy,Khoa học máy tính - hợp tác với ĐH Troy (Hoa Kỳ),A00; A01; D01,25.15,
Đại Học Bách Khoa Hà Nội,55,TX1y,Kỹ thuật Dệt - May,A00; A01,23.1,
Đại Học Ngoại Thương Hà Nội,1,NTH01-01,Ngành Luật,A00,27.5,
Đại Học Ngoại Thương Hà Nội,2,NTH01-01,Ngành Luật,A01; D01; D03; D05; D06; D07,27.0,
Đại Học Ngoại Thương Hà Nội,3,NTH01-02,Nhóm ngành: - Kinh tế - Kinh tế quốc tế,A00,28.4,
Đại Học Ngoại Thương Hà Nội,4,NTH01-02,Nhóm ngành: - Kinh tế - Kinh tế quốc tế,A01; D01; D03; D05; D06; D07,27.9,
Đại Học Ngoại Thương Hà Nội,5,NTH02,Nhóm ngành: - Quản trị kinh doanh - Kinh doanh quốc tế - Quản trị khách sạn - Marketing,A00,28.2,
Đại Học Ngoại Thương Hà Nội,6,NTH02,Nhóm ngành: - Quản trị kinh doanh - Kinh doanh quốc tế - Quản trị khách sạn - Marketing,A01; D01; D03; D05; D06; D07,27.7,
Đại Học Ngoại Thương Hà Nội,7,NTH03,Nhóm ngành: - Kế toán - Tài chính - Ngân hàng,A00,27.8,
Đại Học Ngoại Thương Hà Nội,8,NTH03,Nhóm ngành: - Kế toán - Tài chính - Ngân hàng,A01; D01; D03; D05; D06; D07,27.3,
Đại Học Ngoại Thương Hà Nội,9,NTH04,Ngành Ngôn ngữ Anh,D01,36.4,Môn ngoại ngữ nhân hệ số 2
Đại Học Ngoại Thương Hà Nội,10,NTH05,Ngành Ngôn ngữ Pháp,D01,35.0,Môn ngoại ngữ nhân hệ số 2
Đại Học Ngoại Thương Hà Nội,11,NTH05,Ngành Ngôn ngữ Pháp,D03,34.0,Môn ngoại ngữ nhân hệ số 2
Đại Học Ngoại Thương Hà Nội,12,NTH06,Ngành Ngôn ngữ Trung,D01,36.6,Môn ngoại ngữ nhân hệ số 2
Đại Học Ngoại Thương Hà Nội,13,NTH06,Ngành Ngôn ngữ Trung,D04,35.6,Môn ngoại ngữ nhân hệ số 2
Đại Học Ngoại Thương Hà Nội,14,NTH07,Ngành Ngôn ngữ Nhật,D01,36.0,Môn ngoại ngữ nhân hệ số 2
Đại Học Ngoại Thương Hà Nội,15,NTH07,Ngành Ngôn ngữ Nhật,D06,35.0,Môn ngoại ngữ nhân hệ số 2
Đại Học Kinh tế quốc dân,1,7310101_1,Kinh tế học (ngành Kinh tế),A00; A01; D01; D07,27.45,
Đại Học Kinh tế quốc dân,2,7310101_2,Kinh tế và quản lý đô thị (ngành Kinh tế),A00; A01; D01; D07,26.9,
Đại Học Kinh tế quốc dân,3,7310101_3,Kinh tế và quản lý nguồn nhân lực (ngành Kinh tế),A00; A01; D01; D07,27.65,
Đại Học Kinh tế quốc dân,4,7310104,Kinh tế đầu tư,A00; A01; D01; B00,27.5,
Đại Học Kinh tế quốc dân,5,7310105,Kinh tế phát triển,A00; A01; D01; D07,27.5,
Đại Học Kinh tế quốc dân,6,7310106,Kinh tế quốc tế,A00; A01; D01; D07,27.75,
Đại Học Kinh tế quốc dân,7,7310107,Thống kê kinh tế,A00; A01; D01; D07,27.2,
Đại Học Kinh tế quốc dân,8,7310108,Toán kinh tế,A00; A01; D01; D07,27.15,
Đại Học Kinh tế quốc dân,9,7320108,Quan hệ công chúng,A01; D01; C03; C04,28.6,
Đại Học Kinh tế quốc dân,10,7340101,Quản trị kinh doanh,A00; A01; D01; D07,27.45,
Đại Học Kinh tế quốc dân,11,7340115,Marketing,A00; A01; D01; D07,28.0,
Đại Học Kinh tế quốc dân,12,7340116,Bất động sản,A00; A01; D01; D07,26.65,
Đại Học Kinh tế quốc dân,13,7340120,Kinh doanh quốc tế,A00; A01; D01; D07,28.0,
Đại Học Kinh tế quốc dân,14,7340121,Kinh doanh thương mại,A00; A01; D01; D07,27.7,
Đại Học Kinh tế quốc dân,15,7340122,Thương mại điện tử,A00; A01; D01; D07,28.1,
Đại Học Kinh tế quốc dân,16,7340201,Tài chính - Ngân hàng,A00; A01; D01; D07,27.25,
Đại Học Kinh tế quốc dân,17,7340204,Bảo hiểm,A00; A01; D01; D07,26.4,
Đại Học Kinh tế quốc dân,18,7340301,Kế toán,A00; A01; D01; D07,27.4,
Đại Học Kinh tế quốc dân,19,7340302,Kiểm toán,A00; A01; D01; D07,28.15,
Đại Học Kinh tế quốc dân,20,7340401,Khoa học quản lý,A00; A01; D01; D07,26.85,
Đại Học Kinh tế quốc dân,21,7340403,Quản lý công,A00; A01; D01; D07,26.6,
Đại Học Kinh tế quốc dân,22,7340404,Quản trị nhân lực,A00; A01; D01; D07,27.45,
Đại Học Kinh tế quốc dân,23,7340405,Hệ thống thông tin quản lý,A00; A01; D01; D07,27.5,
Đại Học Kinh tế quốc dân,24,7340409,Quản lý dự án,A00; A01; D01; B00,27.3,
