Trường,STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
Đại học sư phạm,15,7140209A,Sư phạm Toán học,A00,26.25,TTNV <= 10
Đại học sư phạm,16,7140209B,Sư phạm Toán học (Dạy Toán bằng tiếng Anh),A00,27.7,TTNV <= 1
Đại học sư phạm,17,7140209D,Sư phạm Toán học (Dạy Toán bằng tiếng Anh),D01,27.5,TTNV <= 1
Đại học sư phạm,18,7140210A,SP Tin học,A00,23.55,TTNV <= 1
Đại học sư phạm,19,7140210B,SP Tin học,A01,23.45,TTNV <= 4
Đại học sư phạm,20,7140211A,SP Vật lý,A00,25.35,TTNV <= 5
Đại học sư phạm,21,7140211B,SP Vật lý,A01,25.55,TTNV <= 2
Đại học sư phạm,22,7140211C,SP Vật lý (dạy Vật lý bằng tiếng Anh),A00,25.9,TTNV <= 14
Đại học sư phạm,23,7140211D,SP Vật lý (dạy Vật lý bằng tiếng Anh),A01,26.1,TTNV <= 1
Đại học sư phạm,24,7140212A,SP Hoá học,A00,25.8,TTNV <= 11
Đại học sư phạm,25,7140212B,SP Hoá học (dạy Hoá học bằng tiếng Anh),D07,26.0,TTNV <= 4
Đại học sư phạm,26,7140212C,SP Hoá học,B00,26.0,TTNV <= 10
Đại học sư phạm,27,7140213B,SP Sinh học,B00,23.63,TTNV <= 5
Đại học sư phạm,28,7140213D,SP Sinh học,D08; D32; D34,20.78,TTNV <= 6
Đại học sư phạm,29,7140217C,SP Ngữ văn,C00,28.5,TTNV <= 1
Đại học sư phạm,30,7140217D,SP Ngữ văn,D01; D02; D03,25.95,TTNV <= 1
Đại học sư phạm,31,7140218C,SP Lịch sử,C00,28.5,TTNV <= 2
Đại học sư phạm,32,7140218D,SP Lịch sử,D14,27.05,TTNV <= 18
Đại học sư phạm,33,7140219B,SP Địa lý,C04,26.9,TTNV <= 5
Đại học sư phạm,34,7140219C,SP Địa lý,C00,27.75,TTNV <= 1
Đại học sư phạm,35,7140221A,Sư phạm Âm nhạc,N01,19.13,TTNV <= 2
Đại học sư phạm,36,7140221B,Sư phạm Âm nhạc,N02,18.38,TTNV <= 1
Đại học sư phạm,37,7140222B,Sư phạm Mỹ thuật,H02,21.0,TTNV <= 2
Đại học sư phạm,38,7140231A,SP Tiếng Anh,D01,27.39,TTNV <= 2
Đại học sư phạm,39,7140233C,SP Tiếng Pháp,D15; D42; D44,23.51,TTNV <= 4
Đại học sư phạm,40,7140233D,SP Tiếng Pháp,D01; D02; D03,25.31,TTNV <= 8
Đại học sư phạm,41,7140246A,SP Công nghệ,A00,19.15,TTNV <= 6
Đại học sư phạm,42,7140246C,SP Công nghệ,C01,19.3,TTNV <= 2
Đại học sư phạm,43,7140114C,Quản lí giáo dục,C20,26.5,TTNV <= 13
Đại học sư phạm,44,7140114D,Quản lí giáo dục,D01; D02; D03,24.6,TTNV <= 16
Đại học sư phạm,45,7220201,Ngôn ngữ Anh,D01,26.35,TTNV <= 8
Đại học sư phạm,46,7220204A,Ngôn ngữ Trung Quốc,D01,26.05,TTNV <= 2
Đại học sư phạm,47,7220204B,Ngôn ngữ Trung Quốc,D04,25.91,TTNV <= 4
Đại học sư phạm,48,7229001B,Triết học (Triết học Mác - Lênin),C19,23.5,TTNV <= 4
Đại học sư phạm,49,7229001C,Triết học (Triết học Mác - Lênin),C00,22.25,TTNV <= 1
Đại học sư phạm,50,7229030C,Văn học,C00,27.0,TTNV <= 1
Đại học sư phạm,51,7229030D,Văn học,D01; D02; D03,25.2,TTNV <= 4
Đại học sư phạm,52,7310201B,Chính trị học,C19,26.0,TTNV <= 16
Đại học sư phạm,53,7310201C,Chính trị học,D66; D68; D70,20.45,TTNV <= 3
Đại học sư phạm,54,7310401C,Tâm lý học (Tâm lý học trường học),C00,26.25,TTNV <= 4
Đại học sư phạm,55,7310401D,Tâm lý học (Tâm lý học trường học),D01; D02; D03,24.8,TTNV <= 9
Đại học sư phạm,56,7310403C,Tâm lý học giáo dục,C00,26.75,TTNV <= 4
Đại học sư phạm,57,7310403D,Tâm lý học giáo dục,D01; D02; D03,25.5,TTNV <= 6
Đại học sư phạm,58,7310630C,Việt Nam học,C00,25.5,TTNV <= 5
Đại học sư phạm,59,7310630D,Việt Nam học,D15,20.45,TTNV <= 1
Đại học sư phạm,60,7420101B,Sinh học,B00,17.63,TTNV <= 8
Đại học sư phạm,61,7420101D,Sinh học,D08; D32; D34,19.15,TTNV <= 16
Đại học sư phạm,62,7440112A,Hóa học,A00,20.05,TTNV <= 1
Đại học sư phạm,63,7440112B,Hóa học,B00,19.7,TTNV <= 6
Đại học sư phạm,64,7460101B,Toán học,A00,24.35,TTNV <= 8
Đại học sư phạm,65,7460101D,Toán học,D01,24.55,TTNV <= 6
Đại học sư phạm,66,7480201A,Công nghệ thông tin,A00,23.9,TTNV <= 4
Đại học sư phạm,67,7480201B,Công nghệ thông tin,A01,23.85,TTNV <= 12
Đại học sư phạm,68,7760101C,Công tác xã hội,C00,24.25,TTN <= 4
Đại học sư phạm,69,7760101D,Công tác xã hội,D01; D02; D03,22.5,TTNV <= 4
Đại học sư phạm,70,7760103C,Hỗ trợ giáo dục người khuyết tật,C00,16.75,TTNV <= 5
Đại học sư phạm,71,7760103D,Hỗ trợ giáo dục người khuyết tật,D01; D02; D03,17.75,TTNV <= 5
Đại học sư phạm,72,7810103C,Quản trị dịch vụ du lịch và lữ hành,C00,26.5,TTNV <= 1
Đại học sư phạm,73,7810103D,Quản trị dịch vụ du lịch và lữ hành,D15,23.9,TTNV <= 1
Đại học công nghệ - QGHN,1,CN1,Công nghệ thông tin,A00; A01; D01,29.15,
Đại học công nghệ - QGHN,2,CN10,Công nghệ nông nghiệp,A00; A01; D01,22.0,
Đại học công nghệ - QGHN,3,CN11,Kỹ thuật điều khiển và tự động hóa,A00; A01; D01,27.25,
Đại học công nghệ - QGHN,4,CN12,Trí tuệ nhân tạo,A00; A01; D01,27.0,
Đại học công nghệ - QGHN,5,CN13,Kỹ thuật năng lượng,A00; A01; D01,22.0,
Đại học công nghệ - QGHN,6,CN16,Công nghệ thông tin định hướng thị trường Nhật Bản,A00; A01; D01,27.5,
Đại học công nghệ - QGHN,7,CN17,Kỹ thuật Robot,A00; A01; D01,23.0,
Đại học công nghệ - QGHN,8,CN2,Kỹ thuật máy tính,A00; A01; D01,27.5,
Đại học công nghệ - QGHN,9,CN3,Vật lý kỹ thuật,A00; A01; D01,23.0,
Đại học công nghệ - QGHN,10,CN4,Cơ kỹ thuật,A00; A01; D01,25.0,
Đại học công nghệ - QGHN,11,CN5,Công nghệ kỹ thuật xây dựng,A00; A01; D01,22.0,
Đại học công nghệ - QGHN,12,CN7,Công nghệ Hàng không vũ trụ,A00; A01; D01,23.0,
Đại học công nghệ - QGHN,13,CN14,Hệ thống thông tin,A00; A01; D01,25.0,Điều kiện tiếng Anh trong kỳ thi THPT từ 6 điểm trở lên
Đại học công nghệ - QGHN,14,CN15,Mạng máy tính và truyền thông dữ liệu,A00; A01; D01,24.0,Điều kiện tiếng Anh trong kỳ thi THPT từ 6 điểm trở lên
Đại học công nghệ - QGHN,15,CN6,Công nghệ kỹ thuật cơ điện tử,A00; A01; D01,23.0,Điều kiện tiếng Anh trong kỳ thi THPT từ 6 điểm trở lên
Đại học công nghệ - QGHN,16,CN8,Khoa học máy tính,A00; A01; D01,27.25,Điều kiện tiếng Anh trong kỳ thi THPT từ 6 điểm trở lên
Đại học công nghệ - QGHN,17,CN9,Công nghệ kỹ thuật điện tử - viễn thông,A00; A01; D01,23.0,Điều kiện tiếng Anh trong kỳ thi THPT từ 6 điểm trở lên
